Max: 200038996 Min: 2
MaxVal: 200038996.228362 MinVal: 2.000144
-   *     --|------      , 0.000568,  0.060051,  0.186123,  0.432547,  0.754797
----     *  |--------    , 0.013105,  0.186299,  0.358687,  0.493268,  0.826118
--    *     | --------   , 0.008452,  0.088354,  0.271499,  0.564088,  0.886711
-   *       | -------    , 0.004094,  0.063113,  0.197392,  0.576040,  0.845107
---   *   --|--------    , 0.001043,  0.139540,  0.232245,  0.390663,  0.836325
-    *     -|---------   , 0.002897,  0.054344,  0.209528,  0.463117,  0.865428
--   *     -|-------     , 0.008940,  0.102910,  0.226688,  0.421688,  0.792087
--    *     |---------   , 0.015539,  0.084510,  0.247220,  0.478253,  0.794107
-    *      |-------     , 0.001592,  0.057456,  0.211567,  0.489658,  0.785208
----     *  |  -----     , 0.026397,  0.162286,  0.335622,  0.566432,  0.775796
---     *   |-------     , 0.012475,  0.139036,  0.298995,  0.481379,  0.742086
---  *      |------      , 0.022725,  0.134686,  0.225357,  0.484569,  0.765270
-    *   ---|---------   , 0.001157,  0.052644,  0.195881,  0.375563,  0.864470
--    *     |   -------  , 0.011349,  0.111580,  0.245967,  0.655162,  0.927744
--   *      |-------     , 0.008169,  0.086706,  0.198876,  0.482749,  0.770027
--  *   ----|---------   , 0.005347,  0.095082,  0.172297,  0.350185,  0.894492
--    *     |------      , 0.000843,  0.085799,  0.246393,  0.458794,  0.743709
--   *      |---------   , 0.001060,  0.106880,  0.227855,  0.520768,  0.846875
--     *    |--------    , 0.019427,  0.097100,  0.311571,  0.493477,  0.876812
 -   *   ---|---------   , 0.051549,  0.108427,  0.201634,  0.387274,  0.885891

Max: 200039628 Min: 2
MaxVal: 200039628.111177 MinVal: 2.000055
-   *      -|-------     , 0.002429,  0.060051,  0.186123,  0.451972,  0.796851
--      *   |------      , 0.008043,  0.081997,  0.345754,  0.532174,  0.780928
--      *   | ---------  , 0.002461,  0.107516,  0.331722,  0.588896,  0.919214
---     *   |----------  , 0.011431,  0.146210,  0.316677,  0.502802,  0.889206
---      *  | --------   , 0.005211,  0.120733,  0.369425,  0.571111,  0.900003
---    *    |-------     , 0.006097,  0.122225,  0.286146,  0.547200,  0.802861
---   *     | ---------  , 0.012648,  0.124454,  0.267346,  0.585890,  0.912590
-      *    |-----       , 0.006098,  0.047791,  0.308006,  0.500482,  0.731219
     *      |  -----     , 0.001795,  0.030442,  0.221726,  0.607716,  0.818641
-    *     -|-------     , 0.001833,  0.055753,  0.222990,  0.464759,  0.808477
-      *    |--------    , 0.010638,  0.066500,  0.273137,  0.481331,  0.813813
-    *    --|-------     , 0.008978,  0.042800,  0.201772,  0.428785,  0.800436
--     *    |   ----     , 0.011219,  0.079396,  0.267966,  0.631415,  0.790845
